web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,Rate,Seller_Name,Seller_Rating,Available_Colors,Product_SKU,Product_Description,product title,original price,discount,final price,image_1,image_3,Spec,comment count,rezayat
"1771406630-61","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-62","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-63","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-64","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-65","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-66","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-67","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-68","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-69","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-70","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-71","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-72","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-73","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-74","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-75","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-76","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-77","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-78","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-79","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-80","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-81","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-82","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-83","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-84","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-85","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-86","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-87","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-88","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-89","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
