web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,rate,Number_of_Comments,Seller_Performance_1,title_1,final price,Seller_Rating,image_3,image_7,variants,specs1,descriptiom,specs 2,bramd
"1771408498-81","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-82","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-83","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-84","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-85","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-86","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-87","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-88","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-89","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-90","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-91","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-92","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-93","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-94","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-95","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-96","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-97","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-98","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-99","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-100","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-101","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-102","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-103","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-104","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-105","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-106","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-107","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-108","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-109","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-110","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-111","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-112","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-113","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-114","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-115","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-116","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-117","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-118","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-119","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-120","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-121","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-122","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-123","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-124","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-125","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-126","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-127","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-128","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-129","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-130","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-131","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-132","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-133","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-134","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-135","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-136","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-137","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-138","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-139","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-140","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-141","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-142","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-143","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-144","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-145","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-146","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-147","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-148","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-149","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-150","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-151","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-152","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-153","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-154","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-155","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-156","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-157","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-158","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-159","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-160","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-161","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-162","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-163","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-164","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-165","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-166","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-167","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-168","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-169","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
