web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,RATE,Seller_Name,Seller_Performance,Product_Description,image_1,image_2,COMMENT COUNT,Price,Product Title,Specs 1,Specs 2,Category,Sub Category,Sub Cat 2
"1771405931-76","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-77","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-78","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-79","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-80","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-81","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-82","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-83","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-84","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-85","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-86","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-87","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-88","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-89","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-90","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-91","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-92","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-93","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-94","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-95","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-96","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-97","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-98","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-99","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-100","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-101","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-102","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-103","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-104","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-105","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-106","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-107","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-108","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-109","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-110","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-111","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-112","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-113","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-114","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-115","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-116","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-117","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-118","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-119","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-120","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-121","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-122","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-123","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-124","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-125","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-126","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-127","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-128","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-129","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-130","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-131","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-132","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-133","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-134","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-135","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-136","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
