web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,rate,Seller_Name,Seller_Performance,Product_Description,product title,original price,image_1,image_3,variant,final price,specs1,specs 2
"1771409282-85","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-86","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-87","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-88","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-89","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-90","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-91","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-92","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-93","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-94","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-95","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-96","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-97","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-98","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-99","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-100","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-101","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-102","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-103","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-104","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-105","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-106","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
"1771409282-107","https://www.digikala.com/search/category-external-hard-disk/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","",""
